Table A1;;;;;;;;;;;;
Growth-irradiance curve parameters and other information for all experiments used in the paper. The columns include: species (species name), mu_max (µmax, d-1), alpha (α, d-1 µmol photons-1 m2 s1), I_opt (Iopt, µmol photons m-2 s-1), I_max (the maximum irradiance used in the experiment, µmol photons m-2 s-1), culture temperature (°C), culture daylength (h), cell volume (µm3), taxon, environment (C = coastal, O = oceanic), Chl:C (mass ratio, measured under the lowest irradiance), and reference. In some cases the model-estimated Iopt can be very high, suggesting no evidence for photoinhibition in the experiment. We have included the maximum irradiance used in the experiment for comparison. ;;;;;;;;;;;;
;;;;;;;;;;;;
species;mu_max;alpha;I_opt;I_max;temperature;daylength;volume;taxon;environment;Chl:C;reference;
Phaeodactylum tricornutum;1.05E+00;4.61E-02;1.00E+04;2.08E+02;1.40E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.26E+00;5.85E-02;9.14E+03;2.08E+02;1.60E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.46E+00;5.71E-02;6.01E+03;2.08E+02;1.90E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.66E+00;5.28E-02;7.75E+03;2.08E+02;2.10E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.53E+00;4.62E-02;2.61E+02;2.08E+02;2.30E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Phaeodactylum tricornutum;1.50E+00;4.46E-02;1.83E+03;2.08E+02;2.50E+01;1.40E+01;1.26E+02;diatom;C;na;10;
Corethron criophilum;2.36E-01;5.98E-03;2.75E+03;2.20E+02;1.50E-01;2.40E+01;na;diatom;O;na;11;
Corethron criophilum;2.01E-01;7.76E-03;1.22E+04;2.20E+02;2.00E+00;2.40E+01;na;diatom;O;na;11;
Corethron criophilum;3.14E-01;6.49E-03;2.05E+04;2.20E+02;4.00E+00;2.40E+01;na;diatom;O;na;11;
Corethron criophilum;1.19E-01;5.54E-04;1.59E+02;2.20E+02;6.00E+00;2.40E+01;na;diatom;O;na;11;
Synedra sp.;3.50E-01;4.57E-03;1.32E+02;2.20E+02;1.00E+00;2.40E+01;na;diatom;O;na;11;
Synedra sp.;3.88E-01;1.15E-02;1.61E+02;2.20E+02;5.00E+00;2.40E+01;na;diatom;O;na;11;
Synedra sp.;3.09E-01;3.32E-02;2.37E+04;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia kerguelensis;3.97E-01;6.42E-03;1.58E+02;2.20E+02;1.50E-01;2.40E+01;na;diatom;O;na;11;
Nitzschia kerguelensis;4.52E-01;3.41E-02;1.07E+04;2.20E+02;3.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia kerguelensis;5.91E-01;2.16E-02;2.41E+04;2.20E+02;4.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia kerguelensis;3.24E-01;4.46E-03;9.38E+01;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;3.22E-01;5.25E-03;1.61E+02;2.20E+02;1.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;5.13E-01;7.30E-03;1.53E+02;2.20E+02;3.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;4.68E-01;1.18E-02;1.60E+02;2.20E+02;5.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;3.48E-01;7.05E-03;1.57E+02;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia turgiduloides;2.67E-01;5.56E-03;1.13E+02;2.20E+02;8.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;5.50E-01;7.38E-03;1.41E+02;2.20E+02;1.00E-01;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;4.84E-01;9.04E-03;1.44E+02;2.20E+02;3.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;6.02E-01;1.51E-02;3.72E+02;2.20E+02;5.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;4.56E-01;6.69E-03;3.02E+02;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Nitzschia cylindrus;4.43E-01;6.73E-03;2.24E+02;2.20E+02;9.00E+00;2.40E+01;na;diatom;O;na;11;
Stellarima microtrias;5.60E-01;1.19E-02;2.91E+02;2.20E+02;1.00E+00;2.40E+01;na;diatom;O;na;11;
Stellarima microtrias;6.89E-01;1.64E-02;9.24E+03;2.20E+02;4.00E+00;2.40E+01;na;diatom;O;na;11;
Stellarima microtrias;3.44E-01;3.25E-02;2.71E+04;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Chaetoceros deflandrei;5.72E-01;1.29E-02;1.65E+02;2.20E+02;7.00E+00;2.40E+01;na;diatom;O;na;11;
Chaetoceros deflandrei;5.37E-01;1.04E-02;1.38E+02;2.20E+02;1.00E+01;2.40E+01;na;diatom;O;na;11;
Chaetoceros deflandrei;5.46E-01;5.90E-03;1.41E+02;2.20E+02;1.30E+01;2.40E+01;na;diatom;O;na;11;
Chaetoceros deflandrei;5.96E-01;5.35E-03;1.37E+02;2.20E+02;1.50E+01;2.40E+01;na;diatom;O;na;11;
Coscinodiscus pavillardii;3.96E-01;1.25E-02;1.34E+02;2.11E+02;2.80E+01;2.40E+01;3.14E+06;diatom;C;na;12;
Trichodesmium erythraeum;3.43E-01;3.46E-03;1.60E+02;3.01E+02;2.40E+01;1.20E+01;na;diazotroph;C;na;13;
Crocosphaera watsonii;5.65E-01;8.57E-03;2.27E+02;2.58E+02;2.80E+01;1.20E+01;8.20E+00;diazotroph;O;na;14;
Crocosphaera watsonii;8.10E-01;1.22E-02;2.48E+02;2.56E+02;2.80E+01;1.20E+01;6.50E+01;diazotroph;O;na;14;
Gyrodinium cf. aureolum;2.78E-01;6.87E-03;1.74E+02;4.40E+02;2.00E+01;1.20E+01;5.60E+03;dinoflagellate;C;2.43E-02;15;
Phaeodactylum tricornutum;1.68E+00;3.38E-02;2.30E+02;2.30E+02;2.30E+01;2.40E+01;na;diatom;C;6.70E-02;16;
Nannochloris atomus;1.13E+00;1.59E-02;1.41E+02;2.28E+02;2.30E+01;2.40E+01;na;chlorophyte;C;1.00E-01;17;
Thalassiosira antarctica var. borealis;3.67E-01;5.33E-03;1.99E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Thalassiosira antarctica var. borealis;5.75E-01;5.36E-02;6.04E+06;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Thalassiosira nordenskišldii;3.60E-01;7.85E-03;1.83E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Thalassiosira nordenskišldii;5.75E-01;2.02E-02;1.98E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Porosira glacialis;3.16E-01;7.80E-03;1.53E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Porosira glacialis;3.71E-01;2.22E-02;1.86E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Nitzschia delicatissima;1.61E-01;1.72E-02;1.16E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Nitzschia delicatissima;4.61E-01;3.53E-02;1.41E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Thalassiosira bulbosa;3.89E-01;9.98E-03;1.55E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Thalassiosira bulbosa;6.53E-01;1.97E-02;1.36E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Thalassiosira bioculata;2.09E-01;5.65E-03;2.78E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Thalassiosira bioculata;4.26E-01;1.61E-02;1.44E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Chaetoceros furcellatus;4.60E-01;1.09E-02;1.67E+02;5.00E+02;-5.00E-01;1.00E+01;na;diatom;C;na;18;
Chaetoceros furcellatus;4.78E-01;1.50E-02;1.25E+02;5.00E+02;-5.00E-01;2.40E+01;na;diatom;C;na;18;
Phaeomonas sp.;3.39E-01;2.34E-03;3.55E+02;3.50E+02;2.00E+01;1.10E+01;1.87E+01;pinguiophyte;C;1.50E-03;19;
Minutocellus sp.;8.24E-01;1.97E-02;6.13E+01;2.16E+02;2.00E+01;1.10E+01;1.37E+01;diatom;C;na;20;
Minutocellus sp.;2.25E+00;3.88E-02;1.54E+04;2.16E+02;2.00E+01;1.10E+01;1.30E+01;diatom;C;na;20;
Trichodesmium erythraeum;5.63E-01;8.77E-03;8.03E+02;2.74E+02;2.70E+01;1.20E+01;2.30E+02;diazotroph;C;na;21;
Crocosphaera watsonii;4.46E-01;9.72E-03;2.38E+02;6.01E+02;2.70E+01;1.20E+01;2.20E+01;diazotroph;O;na;21;
Stephanopyxis palmeriana;6.66E-01;7.75E-03;7.31E+01;7.90E+01;2.00E+01;1.20E+01;na;diatom;O;na;22;
Isochrysis galbana;6.55E-01;2.83E-01;2.65E+04;1.68E+02;1.00E+01;1.20E+01;na;haptophyte;C;na;23;
